ID,SKU,Nome,Categoria,Serie,Descricao,Imagem_Principal,Imagens,URL_Detalhe
303,VS23,3-em-1 Bíceps,Bíceps,Equipamentos - Série VS,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS23-1.png,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS23-1.png | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS23-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS23-1-1.webp,https://commanderbrasil.com.br/catalogo/biceps-em-1-vs23/
1458,LB640,4 Estações,Outras Máquinas,Equipamentos - Série LB,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB640-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB640-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB640-3-2.webp,https://commanderbrasil.com.br/catalogo/4-estacoes-lb640/
2890,E013,4D Pro,Acessórios de Treino,Acessórios - Série E,4D PRO - Código: E-013,https://commanderbrasil.com.br/wp-content/uploads/2025/12/E013-e-2.jpeg,https://commanderbrasil.com.br/wp-content/uploads/2025/12/E013-e-2.jpeg,https://commanderbrasil.com.br/catalogo/4d-pro-e013/
249877,LB639,5 Estações,Outras Máquinas,Equipamentos - Série LB,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB639-bgbranco-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB639-bgbranco-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB639-3-1.webp,https://commanderbrasil.com.br/catalogo/5-estacoes-lb639/
1459,LB641,8 Estações,Outras Máquinas,Equipamentos - Série LB,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB641-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB641-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB641-3-2.webp,https://commanderbrasil.com.br/catalogo/8-estacoes-lb641/
3002,G002,Abdominal Banco Ajustável,Bancos Ajustáveis,Acessórios - Série G,Banco Máquina Abdominal Adjustable - Código: G-002,https://commanderbrasil.com.br/wp-content/uploads/2025/12/G002-g-1.jpeg,https://commanderbrasil.com.br/wp-content/uploads/2025/12/G002-g-1.jpeg,https://commanderbrasil.com.br/catalogo/banco-abdominal-ajustavel-g002/
1532,LBE30,Abdominal Coaster,Outros Cardio,Equipamentos - Série LB-E,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-E30-bgbranco-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-E30-bgbranco-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-E30-ambientadas-1.webp,https://commanderbrasil.com.br/catalogo/ab-coster-lbe30/
291,VS10,Abdominal Crunch,Máquinas Abdominais,Equipamentos - Série VS,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS10-1.png,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS10-1.png | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS10-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS10-1-1.webp,https://commanderbrasil.com.br/catalogo/abdominal-crunch-vs10/
1004686,PM01,Abdominal Crunch,Máquinas Abdominais,Equipamentos - Série PM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/PM01-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/PM01-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/PM01-ambientadas.webp,https://commanderbrasil.com.br/catalogo/abdominal-crunch-pm01/
1004690,PM05,Abdominal Crunch,Máquinas Abdominais,Equipamentos - Série PM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/PM05-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/PM05-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/PM05-ambientadas.webp,https://commanderbrasil.com.br/catalogo/abdominal-crunch-pm05/
149,GM48,Abdominal Crunch,Máquinas Abdominais,Equipamentos - Série GM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM48-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM48-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM48-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/abdominal-crunch-gm48/
885,B1113,Abdominal/Extensão de Lombar,Extensão de Costas,Equipamentos - Série B,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1113-bgbranco-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1113-bgbranco-1.webp,https://commanderbrasil.com.br/catalogo/abdominal-extensao-de-lombar-b1113/
1627,CBP061,Abdução de Coxa 3D,Abdutora de Quadril,Equipamentos - Série CBP,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP061-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP061-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP061-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/abducao-de-coxad-cbp061/
1289,SH59,Abdutor,Outras Anilhadas,Equipamentos - Série SH,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH59-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH59-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH59-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/abdutor-sh59/
991,LBF17,Abdutora,Abdutora de Quadril,Equipamentos - Série LB-F,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-F17-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-F17-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-F17-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/abdutora-lbf17/
838,B1021,Abdutora de Quadril,Abdutora de Quadril,Equipamentos - Série B,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1021-1-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1021-1-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1021-2-1.webp,https://commanderbrasil.com.br/catalogo/cadeira-abdutora-b1021/
1431,LB612,Abdutora de Quadril,Abdutora de Quadril,Equipamentos - Série LB,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB612-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB612-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB612-3-2.webp,https://commanderbrasil.com.br/catalogo/abdutora-de-quadril-lb612/
152,GM51,Abdutora de Quadril,Abdutora de Quadril,Equipamentos - Série GM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM51-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM51-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM51-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/abdutora-de-quadril-gm51/
1414,GH101D,Abdutora de Quadril em Pé,Outros Cardio,Equipamentos - Série GT,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GH101D-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GH101D-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/GH101D-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/abdutora-em-pe-gh101d/
194,GM105,Abdutora de Quadril em Pé,Abdutora de Quadril,Equipamentos - Série GM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM105-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM105-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM105-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/abdutora-de-quadril-em-pe-gm105/
161,GM91,Abdutora e Adutora de Quadril,Abdutora de Quadril,Equipamentos - Série GM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM91-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM91-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM91-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/abdutora-e-adutora-de-quadril-gm91/
1644,CBP078,Adução e Remada Super,Remadas,Equipamentos - Série CBP,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP078-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP078-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP078-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/aducao-e-remada-super-cbp078/
1297,SH70,Adutor,Outras Anilhadas,Equipamentos - Série SH,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH70-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH70-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH70-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/adutor-sh70/
839,B1022,Adutora de Quadril,Adutora de Quadril,Equipamentos - Série B,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1022-1-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1022-1-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1022-2-1.webp,https://commanderbrasil.com.br/catalogo/cadeira-adutora-b1022/
1430,LB611,Adutora de Quadril,Adutora de Quadril,Equipamentos - Série LB,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB611-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB611-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB611-3-2.webp,https://commanderbrasil.com.br/catalogo/adutora-de-quadril-lb611/
151,GM50,Adutora de Quadril,Adutora de Quadril,Equipamentos - Série GM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM50-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM50-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM50-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/adutora-de-quadril-gm50/
990,LBF16,Adutora de Quadril,Outras Anilhadas,Equipamentos - Série LB-F,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-F16-bgbranco-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-F16-bgbranco-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-F16-ambientadas-1.webp,https://commanderbrasil.com.br/catalogo/adutora-lbf16/
998,LBF24,Adutora/Abdutora,Abdutora de Quadril,Equipamentos - Série LB-F,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-F24-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-F24-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-F24-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/adutora-abdutora-lbf24/
292,VS11,Adutora/Abdutora de Quadril,Adutora de Quadril,Equipamentos - Série VS,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS11-1.png,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS11-1.png | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS11-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS11-1-1.webp,https://commanderbrasil.com.br/catalogo/cadeira-adutora-abdutora-vs11/
837,B1020,Adutora/Abdutora de Quadril,Adutora de Quadril,Equipamentos - Série B,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1020-1-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1020-1-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1020-2-1.webp,https://commanderbrasil.com.br/catalogo/cadeira-adutora-abdutora-b1020/
876,B1101,Agachamento,Outras Máquinas,Equipamentos - Série B,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1101-1-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1101-1-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1101-2-2.webp,https://commanderbrasil.com.br/catalogo/agachamento-b1101/
877,B1102,Agachamento,Outras Máquinas,Equipamentos - Série B,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1102-1-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1102-1-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1102-2-2.webp,https://commanderbrasil.com.br/catalogo/agachamento-b1102/
1004679,B1103,Agachamento,Máquinas de Agachamento,Equipamentos - Série B,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1103-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1103-bgbranco.webp,https://commanderbrasil.com.br/catalogo/agachamento-b1103/
1393,GM96,Agachamento 45°,Outras Máquinas,Equipamentos - Série GM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM96-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM96-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM96-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/agachamento5o-gm96/
1004672,LB637,Agachamento Anilhado,Máquinas de Agachamento,Equipamentos - Série LB,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB637-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB637-bgbranco.webp,https://commanderbrasil.com.br/catalogo/agachamento-maquina-anilhado-lb637/
1400,GM107,Agachamento Articulado,Outras Máquinas,Equipamentos - Série GM,,,,https://commanderbrasil.com.br/catalogo/agachamento-articulado-gm107/
1095,CBS050,Agachamento com Cinto,Máquinas de Agachamento,Equipamentos - Série CBS,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBS050-cmd-cbs-series-2.png,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBS050-cmd-cbs-series-2.png,https://commanderbrasil.com.br/catalogo/agachamento-com-cinto-cbs050/
