SKU,Nome,slug_nome,Categoria,slug_categoria,Serie,slug_serie,Descricao,Imagem
VS23,3-em-1 Bíceps,3-em-1-biceps,Bíceps,biceps,Equipamentos - Série VS,equipamentos-serie-vs,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS23-1.png
LB640,4 Estações,4-estacoes,Outras Máquinas,outras-maquinas,Equipamentos - Série LB,equipamentos-serie-lb,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB640-bgbranco-2.webp
E013,4D Pro,4d-pro,Acessórios de Treino,acessorios-de-treino,Acessórios - Série E,acessorios-serie-e,4D PRO - Código: E-013,https://commanderbrasil.com.br/wp-content/uploads/2025/12/E013-e-2.jpeg
LB639,5 Estações,5-estacoes,Outras Máquinas,outras-maquinas,Equipamentos - Série LB,equipamentos-serie-lb,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB639-bgbranco-1.webp
LB641,8 Estações,8-estacoes,Outras Máquinas,outras-maquinas,Equipamentos - Série LB,equipamentos-serie-lb,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB641-bgbranco-2.webp
G002,Abdominal Banco Ajustável,abdominal-banco-ajustavel,Bancos Ajustáveis,bancos-ajustaveis,Acessórios - Série G,acessorios-serie-g,Banco Máquina Abdominal Adjustable - Código: G-002,https://commanderbrasil.com.br/wp-content/uploads/2025/12/G002-g-1.jpeg
LBE30,Abdominal Coaster,abdominal-coaster,Outros Cardio,outros-cardio,Equipamentos - Série LB-E,equipamentos-serie-lb-e,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-E30-bgbranco-1.webp
VS10,Abdominal Crunch,abdominal-crunch,Máquinas Abdominais,maquinas-abdominais,Equipamentos - Série VS,equipamentos-serie-vs,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS10-1.png
PM01,Abdominal Crunch,abdominal-crunch,Máquinas Abdominais,maquinas-abdominais,Equipamentos - Série PM,equipamentos-serie-pm,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/PM01-bgbranco.webp
PM05,Abdominal Crunch,abdominal-crunch,Máquinas Abdominais,maquinas-abdominais,Equipamentos - Série PM,equipamentos-serie-pm,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/PM05-bgbranco.webp
GM48,Abdominal Crunch,abdominal-crunch,Máquinas Abdominais,maquinas-abdominais,Equipamentos - Série GM,equipamentos-serie-gm,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM48-bgbranco-2.webp
B1113,Abdominal/Extensão de Lombar,abdominalextensao-de-lombar,Extensão de Costas,extensao-de-costas,Equipamentos - Série B,equipamentos-serie-b,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1113-bgbranco-1.webp
CBP061,Abdução de Coxa 3D,abducao-de-coxa-3d,Abdutora de Quadril,abdutora-de-quadril,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP061-bgbranco-2.webp
SH59,Abdutor,abdutor,Outras Anilhadas,outras-anilhadas,Equipamentos - Série SH,equipamentos-serie-sh,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH59-bgbranco-2.webp
LBF17,Abdutora,abdutora,Abdutora de Quadril,abdutora-de-quadril,Equipamentos - Série LB-F,equipamentos-serie-lb-f,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-F17-bgbranco-2.webp
B1021,Abdutora de Quadril,abdutora-de-quadril,Abdutora de Quadril,abdutora-de-quadril,Equipamentos - Série B,equipamentos-serie-b,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1021-1-1.webp
