name,slug,logo,website
Again Faster,again-faster,https://www.againfaster.com/cdn/shop/t/76/assets/logo.svg,https://www.againfaster.com
Ajust Fitness,ajust-fitness,https://ajustfitness.com.br/wp-content/uploads/2025/08/logosite-1.jpg,https://www.ajustfitness.com.br
American Barbell,american-barbell,https://americanbarbell.com/cdn/shop/files/AB_Logo-AI_V02-01.png,https://americanbarbell.com
Assault Fitness,assault-fitness,https://www.assaultfitness.com/cdn/shop/files/Assault-Fitness-Logo-Black.svg,https://www.assaultfitness.com
BFT Fitness,bft-fitness,https://www.bftfitness.com/bft_images/logo.png,https://www.bftfitness.com
Balanced Body,balanced-body,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1OUTPaO44gaHmj4arDqSG2EPuX_dAo-KVAQ&s,https://www.pilates.com
Body-Solid,body-solid,https://cdn11.bigcommerce.com/s-2v01ommyhe/images/stencil/289x90/body-solid-logo_1725647867__37001.original.png,https://www.bodysolid.com
Bowflex,bowflex,https://global.bowflex.com/on/demandware.static/Sites-nautilus-international-Site/-/default/dw6aaa9a7e/images/bowflex-logo.svg,https://www.bowflex.com
Cimerian,cimerian,https://cimerianofficial.com/wp-content/uploads/2025/03/LOGO_CIMERIAN-BRANCO-webp.webp,https://cimerianofficial.com
Concept2,concept2,https://www.concept2.com/assets/graphics/Brand/Brand-Inverse-Compact.svg,https://www.concept2.com
Core Health & Fitness,core-health-fitness,https://pt-br.corehandf.com/hs-fs/hubfs/CoreHealthFitness_May2025/Images/core_health_fitness-1.png,https://corehealthandfitness.com
Cybex,cybex,https://www.lifefitness.com/Kentico13CoreBase/media/LFMedia/Development-Images/header-white-lf.svg,https://www.cybexintl.com
DHZ Fitness,dhz-fitness,https://cdn.globalso.com/dhzfitness/DHZ-Fitness-Logo.png,https://www.dhzfitness.com
Echelon,echelon,https://cdn.worldvectorlogo.com/logos/echelon-2.svg,https://www.echelonfit.com
Eleiko,eleiko,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbbznnq_Y6yoYRcdySVshG3dXr41cY7KIW6g&s,https://www.eleiko.com
Embreex,embreex,https://embreex.com.br/wp-content/uploads/2023/03/logo-top-embreex.png,https://www.embreex.com.br
Equipilates,equipilates,https://www.equipilates.com.br/images/logo-equipilates.webp,https://www.equipilates.com.br
Escape Fitness,escape-fitness,https://escapefitness.com/us/media/logo/stores/2/escape-fitness-logo.png,https://www.escapefitness.com
Evoque Fitness,evoque-fitness,https://images.totalpass.com/public/1280x720/czM6Ly90cC1pbWFnZS1hZG1pbi1wcm9kL2d5bXMvZWRudzlpM2V5YWkxNmdvOTI5MmFzcmdteXExeW5kYmhjZ2dmcjI4MmEwdDB0MG5iM3FpcmFmbDhmd2Vs,https://www.evoquefitness.com.br
Flex Equipment,flex-equipment,https://www.flex.ind.br/wp-content/uploads/2020/06/cropped-logotipo-flex-140x86-1.png,https://www.flexequipment.com.br
Freemotion,freemotion,https://freemotionfitness.com/wp-content/themes/freemotionfitness/images/logo.svg,https://www.freemotionfitness.com
Gears,gears,https://gears.com.br/wp-content/themes/gears-v2/img/logotipo-msb-white-green.png,https://www.gears.com.br
GetRX,getrx,https://www.getrxd.com/pub/media/logo/stores/1/logo.png,https://www.getrxd.com
Hammer Strength,hammer-strength,https://www.lifefitness.com/Kentico13CoreBase/media/LFMedia/Development-Images/header-white-lf.svg,https://www.hammerstrength.com
Hampton Fitness,hampton-fitness,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMZIABGwEAetCi81-Ry0ba7zgbDUumKxQwnw&s,https://www.hamptonfitness.com
Hoist Fitness,hoist-fitness,https://www.hoistfitness.com/cdn/shop/files/Hoist-Fitness-Logo-White_b2ace6e4-dd4d-4244-94fa-23f246a93b85.png,https://www.hoistfitness.com
Impulse Fitness,impulse-fitness,https://www.impulsefitness.com/image/logo.png,https://www.impulsefitness.com
Ivanko,ivanko,https://ivankobarbell.com/cdn/shop/files/Ivanko-logo-350.png,https://www.ivankobarbell.com
Jerai Fitness,jerai-fitness,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/3c/16/2d/3c162df2-0b27-69b0-b5f3-931f16e506db/AppIcon-0-0-1x_U007emarketing-0-11-0-0-85-220.png/1200x630wa.jpg,https://www.jeraifitness.com
Johnson Health Tech,johnson-health-tech,https://assets.johnsonhealthtech.com/transform/64021e0a-482e-404a-a2c9-f1a9b6a38b21/optimized-logo-white2x-png,https://www.johnsonhealthtech.com
Jordan Fitness,jordan-fitness,https://www.jordanfitness.com/cdn/shop/t/16/assets/logo.png,https://www.jordanfitness.co.uk
Kauffer,kauffer,https://i.ytimg.com/vi/MnvMw37rtr8/hqdefault.jpg?v=644ad12b,https://www.kauffer.com.br
Keiser,keiser,https://d33g7cfs7ez3cd.cloudfront.net/websiteassets/images/keiser-logo-354e9b2d30.svg,https://www.keiser.com
Kikos,kikos,https://www.kikos.com.br/media/logo/websites/1/logo.png,https://www.kikos.com.br
Life Fitness,life-fitness,https://www.lifefitness.com/Kentico13CoreBase/media/LFMedia/Development-Images/header-white-lf.svg,https://www.lifefitness.com
Lion Fitness,lion-fitness,https://lionfitness.com.br/wp-content/uploads/2025/01/cropped-logo-perfil-6-180x180.png,https://lionfitness.com.br
Matrix Fitness,matrix-fitness,https://assets.johnsonhealthtech.com/transform/3bf8f607-2252-4cce-b29d-d79fb9af4a0a/optimized-header_matrix_logo-png,https://www.matrixfitness.com
MegaGym,megagym,https://megagym.com.br/cdn/shop/files/Sem_Titulo-1.png,https://megagym.com.br
Movement,movement,https://www.movement.com.br/wp-content/themes/movement2/assets/img/logo_movement_preto.png,https://www.movement.com.br
Nautilus,nautilus,https://www.nautilus.com/cdn/shop/files/nautilus-logo.svg,https://www.nautilus.com
NordicTrack,nordictrack,https://images.contentstack.io/v3/assets/blt40913d6edfec40cc/blt56e570f237a3b888/663d9988f8baf00401a76a3b/Logo_nordicktrack_black.png,https://www.nordictrack.com
Octane Fitness,octane-fitness,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHLLXj-pEkSwVEkX4VaSjjmC7zAszvvWjYvg&s,https://www.octanefitness.com
OriGym,origym,https://www.origym.com.br/upload/logo-origym-retangular-f-preto-menor.jpg,https://www.origym.com.br
Peak Pilates,peak-pilates,https://www.peakpilates.com/cdn/shop/files/PeakPilates_WHT-BLU.svg,https://www.peakpilates.com
Peloton,peloton,https://mma.prnewswire.com/media/1224684/Peloton_Logo.jpg?p=facebook,https://www.onepeloton.com
Podium Fitness,podium-fitness,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlryIzmK9aR4XPGDroFUXC4gja28bvJldN8w&s,https://www.podiumfitness.com.br
Precor,precor,https://www.precor.com/_next/static/media/precor-logo.2c01f4af.svg,https://www.precor.com
ProForm,proform,https://images.contentstack.io/v3/assets/blt40913d6edfec40cc/bltd14abbafa3b6e93d/67e31f0403068daa30a20613/proform-logo.png,https://www.proform.com
REP Fitness,rep-fitness,https://repfitness.com/cdn/shop/files/rep-icon_2a1058e5-9d7d-48c8-ac80-c61938d42065.png,https://www.repfitness.com
Righetto,righetto,https://righetto.com.br/wp-content/uploads/2018/04/righetto-logo-cinza-horizontal.png,https://www.righetto.com.br
Rogue Fitness,rogue-fitness,https://www.roguefitness.com/svc_spa/rogue-logo-gray-NsSxUTHJ.svg,https://www.roguefitness.com
Schwinn,schwinn,https://www.schwinnfitness.com/on/demandware.static/Sites-nautilus-domestic-Site/-/default/dw18ecf002/images/schwinn-apple-touch-icon.png,https://www.schwinnfitness.com
Shandong Relax,shandong-relax,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0BPE23PTJGoij2fMH059dd49rKg9SD7A7cg&s,https://www.yanrefitness.com/
Sole Fitness,sole-fitness,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQegUlyi2h2rTQ-nJa86lKyjqZRfJptw28ySA&s,https://www.solefitness.com
Speedo Fitness,speedo-fitness,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Speedo-Logo.svg/3840px-Speedo-Logo.svg.png,https://www.speedofitness.com.br
Spirit Fitness,spirit-fitness,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7nsl3fkbiD7KOGCVPtb4R0cSxkOuljjEFZA&s,https://www.spiritfitness.com
StairMaster,stairmaster,http://shop.corehandf.com/cdn/shop/collections/logoasociate_StairMaster-3.png?v=1732058724,https://www.stairmaster.com
Star Trac,star-trac,https://thestartrac.com/wp-content/uploads/2024/12/startrac-logo.jpg,https://thestartrac.com
Stott Pilates,stott-pilates,https://www.merrithew.com/images/svg/logos/merrithew.svg,https://www.merrithew.com
Supreme Fitness,supreme-fitness,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrBSCT_-Cu7QgbIs2EicNzg8WC0rUcpPPVDQ&s,https://www.supremefitness.com.br
TRG Fitness,trg-fitness,https://trgfitness.com.br/wp-content/uploads/elementor/thumbs/Logotipo-Eline-qdpjpns5t7goluwd5hk6p1wmz0ywqyj72r40f1f474.png,https://www.trgfitness.com.br
Technogym,technogym,https://www.technogym.com/mobify/bundle/10076/technogym-com/static/img/global/apple-touch-icon.png,https://www.technogym.com
Titan Fitness,titan-fitness,https://titan.fitness/cdn/shop/files/Style_on_Emphasis.svg,https://www.titan.fitness
Total Health,total-health,https://totalhealth.com.br/assets/core/publica/imagens/logo.png,https://totalhealth.com.br
Troy Barbell,troy-barbell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnVwJkwd3hvWan3ubpO3jfIX-GOqS_LTr19Q&s,https://troybarbell.com
WCT Fitness,wct-fitness,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBChf_wMoZ9uy-4zXWHEjJqbjFtbidDW8J6A&s,https://www.wctfitness.com.br
WaterRower,waterrower,https://www.nohrd.com/media/logo/nohrd-logo-small.png,https://www.waterrower.com
York Barbell,york-barbell,https://yorkbarbell.com/apple-touch-icon.png,https://www.yorkbarbell.com
Ziva,ziva,https://latam.ziva.com/icons/apple-touch-icon.png,https://www.ziva.com
